attempt,val_macro_f1,w_config-resnet,w_config-efficientnet,w_config-convnext
1,0.7846364974975586,0.0,0.0,1.0
2,0.7855813503265381,0.0,0.05,0.95
3,0.7885197401046753,0.0,0.1,0.9
4,0.7905544638633728,0.0,0.15,0.85
5,0.7920336127281189,0.0,0.2,0.8
6,0.7922922968864441,0.0,0.25,0.75
7,0.7920417785644531,0.0,0.3,0.7
8,0.7945541739463806,0.0,0.35,0.65
9,0.7942695021629333,0.0,0.4,0.6
10,0.7950057983398438,0.0,0.45,0.55
11,0.7938075661659241,0.0,0.5,0.5
12,0.792363703250885,0.0,0.55,0.45
13,0.792535126209259,0.0,0.6,0.4
14,0.7924679517745972,0.0,0.65,0.35
15,0.7908830642700195,0.0,0.7,0.3
16,0.7898361682891846,0.0,0.75,0.25
17,0.7845993638038635,0.0,0.8,0.2
18,0.7841376662254333,0.0,0.85,0.15
19,0.782920777797699,0.0,0.9,0.1
20,0.7822700142860413,0.0,0.95,0.05
21,0.7794991135597229,0.0,1.0,0.0
22,0.7862367033958435,0.05,0.0,0.95
23,0.7879691123962402,0.05,0.05,0.9
24,0.788261353969574,0.05,0.1,0.85
25,0.791309118270874,0.05,0.15,0.8
26,0.792324960231781,0.05,0.2,0.75
27,0.7931907773017883,0.05,0.25,0.7
28,0.7933353185653687,0.05,0.3,0.65
29,0.7965447902679443,0.05,0.35,0.6
30,0.7947787046432495,0.05,0.4,0.55
31,0.7951643466949463,0.05,0.45,0.5
32,0.794226348400116,0.05,0.5,0.45
33,0.7933494448661804,0.05,0.55,0.4
34,0.7930806875228882,0.05,0.6,0.35
35,0.7924919724464417,0.05,0.65,0.3
36,0.7880319356918335,0.05,0.7,0.25
37,0.7854992151260376,0.05,0.75,0.2
38,0.7859858870506287,0.05,0.8,0.15
39,0.7851066589355469,0.05,0.85,0.1
40,0.7821387648582458,0.05,0.9,0.05
41,0.7796538472175598,0.05,0.95,0.0
42,0.7883182168006897,0.1,0.0,0.9
43,0.7881898880004883,0.1,0.05,0.85
44,0.7906817197799683,0.1,0.1,0.8
45,0.7909749150276184,0.1,0.15,0.75
