attempt,val_macro_f1,w_config-resnet,w_config-efficientnet,w_config-convnext
1,0.7841097712516785,0.0,0.0,1.0
2,0.7861814498901367,0.0,0.05,0.95
3,0.7883217334747314,0.0,0.1,0.9
4,0.7908776998519897,0.0,0.15,0.85
5,0.7934938669204712,0.0,0.2,0.8
6,0.7949108481407166,0.0,0.25,0.75
7,0.7935148477554321,0.0,0.3,0.7
8,0.7943149209022522,0.0,0.35,0.65
9,0.795696496963501,0.0,0.4,0.6
10,0.7944287061691284,0.0,0.45,0.55
11,0.7946535348892212,0.0,0.5,0.5
12,0.794226348400116,0.0,0.55,0.45
13,0.7931755185127258,0.0,0.6,0.4
14,0.7920771837234497,0.0,0.65,0.35
15,0.7910791635513306,0.0,0.7,0.3
16,0.788237452507019,0.0,0.75,0.25
17,0.7853088974952698,0.0,0.8,0.2
18,0.7851051688194275,0.0,0.85,0.15
19,0.7824597954750061,0.0,0.9,0.1
20,0.7816178202629089,0.0,0.95,0.05
21,0.7794991135597229,0.0,1.0,0.0
22,0.7855351567268372,0.05,0.0,0.95
23,0.7878494262695312,0.05,0.05,0.9
24,0.7900621294975281,0.05,0.1,0.85
25,0.7927901744842529,0.05,0.15,0.8
26,0.7941094040870667,0.05,0.2,0.75
27,0.7951456904411316,0.05,0.25,0.7
28,0.7945677042007446,0.05,0.3,0.65
29,0.7942043542861938,0.05,0.35,0.6
30,0.7958239316940308,0.05,0.4,0.55
31,0.795818567276001,0.05,0.45,0.5
32,0.7946891188621521,0.05,0.5,0.45
33,0.7940400838851929,0.05,0.55,0.4
34,0.7929327487945557,0.05,0.6,0.35
35,0.7909619808197021,0.05,0.65,0.3
36,0.7887555360794067,0.05,0.7,0.25
37,0.7862598299980164,0.05,0.75,0.2
38,0.7857166528701782,0.05,0.8,0.15
39,0.7848669290542603,0.05,0.85,0.1
40,0.7821879982948303,0.05,0.9,0.05
41,0.7796538472175598,0.05,0.95,0.0
42,0.7872884273529053,0.1,0.0,0.9
43,0.7889515161514282,0.1,0.05,0.85
44,0.7917104959487915,0.1,0.1,0.8
45,0.793951153755188,0.1,0.15,0.75
46,0.7943671345710754,0.1,0.2,0.7
47,0.7947246432304382,0.1,0.25,0.65
